https://covid.saude.gov.br/,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),,6679,171
Alagoas (AL),,12407,506
Amapá (AP),,11107,247
Amazonas (AM),,44347,2138
Bahia (BA),,22451,762
Ceará (CE),,56056,3605
Distrito Federal(DF),,12020,191
Espírito Santo (ES),,16121,698
Goiás (GO),,4570,155
Maranhão (MA),,38174,1028
Mato Grosso (MT),,2848,76
Mato Grosso do Sul (MS),,1802,20
Minas Gerais (MG),,12010,306
Pará (PA),,44774,3193
Paraíba (PB),,16018,414
Paraná (PR),,5494,205
Pernambuco (PE),,36463,3012
Piauí (PI),,5828,192
Rio de Janeiro (RJ),,59240,6010
Rio Grande do Norte (RN),,9149,367
Rio Grande do Sul (RS),,10398,258
Rondônia (RO),,5713,180
Roraima (RR),,4143,124
Santa Catarina (SC),,10034,152
São Paulo (SP),,123483,8276
Sergipe (SE),,7989,180
Tocantins (TO),,4698,82
TOTAL,,584016,32548
